"id","Positive","Negative","Neutral","Irrelevant","NE"
"1087505684709756928","X",,,,
"1087841393249316864",,,"X",,
"1086118661591613440",,,"X",,
"1086383328037687296",,,,"X",
"1085434899463573504",,,,"X",
"1086167910341582848",,"X",,,
"1087788139488387079","X",,,,
"1086441541307166721",,,,"X",
"1085547973248012288",,,,"X",
"1085633792809803777",,,,"X",
"1086142874364854272",,,"X",,
"1091113215822426112","X",,,,
"1086285007713460225","X",,,,
"1085957176181645313","X",,,,
"1087243781089435648","X",,,,
"1085984205622910983","X",,,,
"1087950555836760064","X",,,,
"1086407829123141633","X",,,,
"1086635404839800833","X",,,,
"1085962336287014912","X",,,,
"1086360302378209288","X",,,,
"1085897951753486336","X",,,,
"1086204567879118849","X",,,,
"1086256422264934400","X",,,,
"1086320464777994240","X",,,,
"1085828270845767680","X",,,,
"1087367586239709185","X",,,,
"1085821628423069697","X",,,,
"1085860572166606848","X",,,,
"1086205605499584513","X",,,,
"1086057301595701249","X",,,,
"1089908212445470722","X",,,,
"1086024961414844417","X",,,,
"1085912133613821952","X",,,,
"1086033634384060417","X",,,,
"1087523569196687360","X",,,,
"1087477268425916418","X",,,,
"1085798177540722689","X",,,,
"1085788327666683904","X",,,,
"1090354908975517696","X",,,,
"1087811554429493249","X",,,,
"1086334321965830144","X",,,,
"1085836052638691328","X",,,,
"1088398398162681856","X",,,,
"1085943558375301120","X",,,,
"1085886273548505091","X",,,,
"1085891926262333440","X",,,,
"1086231804745523201","X",,,,
"1090954200840847362","X",,,,
"1086330923296075776","X",,,,
"1085886767327297537","X",,,,
"1085895945160663040","X",,,,
"1086037542238081024","X",,,,
"1090234130028249088","X",,,,
"1085823663495151616","X",,,,
"1090871036977926144","X",,,,
"1085663226442977286","X",,,,
"1085901773187952641","X",,,,
"1085628315019296768","X",,,,
"1085874744358883330","X",,,,
"1085812409552588800","X",,,,
"1088086046951247873",,,"X",,
"1085884888245522433",,"X",,,
"1088161887026638849",,"X",,,
"1088165901487259650",,"X",,,
"1086012501349859330",,"X",,,
"1088156753366269954",,"X",,,
"1087019715892002816",,"X",,,
"1085356616701132800",,"X",,,
"1086069988291563521",,"X",,,
"1088055934906191873",,"X",,,
"1086145860478685184",,,"X",,
"1085931025123790848",,"X",,,
"1087388583835533314",,"X",,,
"1085927498389643272",,"X",,,
"1085991653712846849",,"X",,,
"1087749379480604674",,"X",,,
"1086180806308102144",,"X",,,
"1086762084434673664",,"X",,,
"1086922001716006912",,"X",,,
"1085874029745983488",,"X",,,
"1087054356506165248",,"X",,,
"1085861469730816005",,"X",,,
"1085975503478181890",,"X",,,
"1085964171622182912",,"X",,,
"1086399174483030016",,"X",,,
"1088399197991329792",,"X",,,
"1085805546408722432",,"X",,,
"1085915663091134464",,"X",,,
"1085845234523619328",,"X",,,
"1086957054399524867",,"X",,,
"1087424232106217472",,"X",,,
"1086358656218734600",,"X",,,
"1086386432795652096",,"X",,,
"1086310186665553921",,"X",,,
"1089177586100518912",,"X",,,
"1087479428882489344",,"X",,,
"1087025645031280640",,"X",,,
"1085951975001391104",,"X",,,
"1086838200834949121",,"X",,,
"1086436109322723335",,"X",,,
"1085900872691957760",,"X",,,
"1086101879459725312",,"X",,,
"1086119827847241728",,"X",,,
"1087649880267517952",,"X",,,
"1086766788845568002",,"X",,,
"1086979383607230464",,"X",,,
"1086342155734605824",,"X",,,
"1086057818220912647",,"X",,,
"1085977760848330754",,"X",,,
"1085949185675923457",,"X",,,
"1088946805579100160",,"X",,,
"1085965119555805186",,"X",,,
"1087016403465572353",,"X",,,
"1087414840707162114",,"X",,,
"1085900499319119877",,"X",,,
"1086135651995607040",,"X",,,
"1087259756639764482",,"X",,,
"1085727901733900289",,"X",,,
"1087661107240685568",,"X",,,
"1085843709982330881",,"X",,,
"1087026159085178880",,"X",,,
"1086286273461968896",,"X",,,
"1085844338406498304",,"X",,,
"1086012561236086785",,"X",,,
"1087813018292047872",,"X",,,
"1090279995476533249",,"X",,,
"1091087731185385474",,"X",,,
"1086383037393162241",,"X",,,
"1090689730243629057",,,,"X",
"1086078570923872258",,,,"X",
"1085612278819389440",,,,"X",
"1087762273698045952",,,,"X",
"1085616799679475712",,,,"X",
"1085676570256265216",,,,"X",
"1087668384102301696",,,,"X",
"1085563714730901504",,,,"X",
"1086052653904416768",,,"X",,
"1089663137471741953",,,,"X",
"1087729449162948610",,,,"X",
"1086941457112535040",,,"X",,
"1088021575969001472",,,"X",,
"1085981515534733312",,,,"X",
"1085537796775968771",,,,"X",
"1085695931075387393",,,,"X",
"1089918223540240384",,,,"X",
"1087403292190273545",,,"X",,
"1087696645641379840",,,,"X",
"1085870600864833537",,,"X",,
"1085907795969490945",,,,"X",
"1086635326016233472",,,,"X",
"1086012635684974592",,,,"X",
"1090671408936611841",,,,"X",
"1089443011585548288",,,"X",,
"1085497361110126592",,,,"X",
"1087412070537154560",,,,"X",
"1086173972402786314",,,"X",,
"1087424647144955904",,,,"X",
"1088181277302448148",,,,"X",
"1085446999225311234",,,,"X",
"1086686978412822531",,,,"X",
"1087930240599506944",,,"X",,
"1085534094937780224",,,,"X",
"1085967372316565504",,,"X",,
"1085647637393494023",,,,"X",
"1088165027880808451",,,,"X",
"1085467041555984384",,,,"X",
"1086003151856156672",,,"X",,
"1085964832803864577",,,"X",,
"1085917099736719360",,,"X",,
"1086402599673257985",,,,"X",
"1085904289535533056",,,,"X",
"1089012590276046848",,,"X",,
"1085551612767203328",,,,"X",
"1085684058011693056",,,,"X",
"1085820690878660609",,,"X",,
"1087759542832820227",,,"X",,
"1086383996995624962",,,"X",,
"1088466895416815616",,,"X",,
"1088356694944550914",,,,"X",
"1085815143231975424",,,"X",,
"1085678121959997441",,,,"X",
"1085906025851613186",,,"X",,
"1086376267342118912",,,"X",,
"1085482177708597248",,,,"X",
"1085798675496996864",,,,"X",
"1087432126990073862",,,"X",,
"1085613669172563970",,,,"X",
"1086090199770238977",,,"X",,
"1086159114265391104",,,"X",,
"1085879056091017219",,,,"X",
"1090701735310446592",,,"X",,
"1086109462069415936",,,"X",,
"1086669789328752641",,,"X",,
"1085366839918673920",,,,"X",
"1086133583960367106",,,"X",,
"1087027333452578817",,,,"X",
"1087735932516777984",,,"X",,
"1088287571644305408",,,,"X",
"1085461372043808768",,,,"X",
